Year,HBR,HBRQF,AgeGroup,AgeGroupQF,Sex,SexQF,Diagnosis,NumberOfDeaths,NumberOfDeathsQF,CrudeRate,CrudeRateQF,EASR
2012,S08000022,,65-74 years,,Males,,Coronary Heart Disease,70,,393.789378937894,,414.39731356009173
2012,S08000022,,65-74 years,,Females,,Coronary Heart Disease,23,,121.744653821723,,123.94312678271235
2012,S08000022,,75plus years,,Males,,Coronary Heart Disease,135,,1169.13484021824,,1340.327984422009
2012,S08000022,,75plus years,,Females,,Coronary Heart Disease,156,,917.215428033866,,881.9462592490769
2012,S08000024,,0-44 years,,Males,,Coronary Heart Disease,10,,4.0190341457141,,4.252603525020352
2012,S08000024,,0-44 years,,Females,,Coronary Heart Disease,4,,1.59542432304152,,1.6981944452986657
2012,S08000024,,45-64 years,,Males,,Coronary Heart Disease,122,,115.430831385832,,119.56599238046395
2012,S08000024,,45-64 years,,Females,,Coronary Heart Disease,30,,27.4881342886987,,28.452198279038186
2012,S08000024,,65-74 years,,Males,,Coronary Heart Disease,137,,420.374347959497,,426.616798761883
2012,S08000024,,65-74 years,,Females,,Coronary Heart Disease,61,,163.916805503305,,166.6526944965245
2012,S08000024,,75plus years,,Males,,Coronary Heart Disease,309,,1328.91794254258,,1426.2669483096297
2012,S08000024,,75plus years,,Females,,Coronary Heart Disease,356,,980.12223996476,,944.6991955449485
2012,S08000025,,0-44 years,,Males,,Coronary Heart Disease,0,,0,,0
2012,S08000025,,0-44 years,,Females,,Coronary Heart Disease,0,,0,,0
2012,S08000025,,45-64 years,,Males,,Coronary Heart Disease,,c,,c,91.11692168201836
2012,S08000025,,45-64 years,,Females,,Coronary Heart Disease,,c,,c,29.36641949930255
2012,S08000025,,65-74 years,,Males,,Coronary Heart Disease,,c,,c,384.51108011777467
2012,S08000025,,65-74 years,,Females,,Coronary Heart Disease,,c,,c,233.0370180951932
2012,S08000025,,75plus years,,Males,,Coronary Heart Disease,,c,,c,1304.8042651331357
2012,S08000025,,75plus years,,Females,,Coronary Heart Disease,,c,,c,1540.1982856686257
2012,S08000026,,0-44 years,,Males,,Coronary Heart Disease,,c,,c,16.083080599209634
2012,S08000026,,0-44 years,,Females,,Coronary Heart Disease,0,,0,,0
2012,S08000026,,45-64 years,,Males,,Coronary Heart Disease,,c,,c,62.81255284709975
2012,S08000026,,45-64 years,,Females,,Coronary Heart Disease,,c,,c,31.666446760786386
2012,S08000026,,65-74 years,,Males,,Coronary Heart Disease,,c,,c,307.67079225229
2012,S08000026,,65-74 years,,Females,,Coronary Heart Disease,0,,0,,0
2012,S08000026,,75plus years,,Males,,Coronary Heart Disease,,c,,c,861.3051457018117
2012,S08000026,,75plus years,,Females,,Coronary Heart Disease,,c,,c,842.3746810068355
2012,S08000028,,0-44 years,,Males,,Coronary Heart Disease,0,,0,,0
2012,S08000028,,0-44 years,,Females,,Coronary Heart Disease,,c,,c,18.642803877703205
2012,S08000028,,45-64 years,,Males,,Coronary Heart Disease,,c,,c,157.25505701734403
2012,S08000028,,45-64 years,,Females,,Coronary Heart Disease,,c,,c,22.04626040307913
2012,S08000028,,65-74 years,,Males,,Coronary Heart Disease,,c,,c,566.2057095376581
2012,S08000028,,65-74 years,,Females,,Coronary Heart Disease,,c,,c,117.68615180129041
2012,S08000028,,75plus years,,Males,,Coronary Heart Disease,,c,,c,2639.428437361847
2012,S08000028,,75plus years,,Females,,Coronary Heart Disease,,c,,c,724.9948938673866
2012,S08000029,,0-44 years,,Males,,Coronary Heart Disease,6,,6.13264920224455,,6.703515312592801
2012,S08000029,,0-44 years,,Females,,Coronary Heart Disease,3,,3.0233097179252,,3.049408885700788
2012,S08000029,,45-64 years,,Males,,Coronary Heart Disease,64,,128.542449135351,,129.65597228448038
2012,S08000029,,45-64 years,,Females,,Coronary Heart Disease,13,,24.9032604114785,,24.575623422220605
2012,S08000029,,65-74 years,,Males,,Coronary Heart Disease,62,,345.962836895263,,356.26379450772447
2012,S08000029,,65-74 years,,Females,,Coronary Heart Disease,38,,193.897336462904,,202.35111018319097
2012,S08000029,,75plus years,,Males,,Coronary Heart Disease,155,,1302.41156205361,,1473.9602860431332
